Sample Names	MutationType	CNV48A	CNV48B
PD53333a	2:LOH:>40Mb	0.9986818653066735	0.0013181346933264762
PD53333a	3-4:LOH:0-100kb	0.9967029999406131	0.0032970000593869142
PD53333a	3-4:LOH:100kb-1Mb	0.9929096526747855	0.007090347325214572
PD53333a	3-4:LOH:1Mb-10Mb	0.9966458872023709	0.003354112797629051
PD53333a	3-4:LOH:10Mb-40Mb	0.9956786413193286	0.004321358680671491
PD53333a	3-4:LOH:>40Mb	0.9944223037053408	0.0055776962946592025
PD53333a	5-8:LOH:0-100kb	0.9999986963906999	1.3036093000103069e-06
PD53333a	5-8:LOH:100kb-1Mb	0.9999995138103926	4.861896074466037e-07
PD53333a	5-8:LOH:1Mb-10Mb	0.9999994335420441	5.664579558037866e-07
PD53333a	5-8:LOH:10Mb-40Mb	0.9738552204559877	0.026144779544012297
PD53333a	5-8:LOH:>40Mb	0.9993423067819885	0.0006576932180114114
PD53333a	9+:LOH:0-100kb	0.999982602850818	1.7397149181995654e-05
PD53333a	9+:LOH:100kb-1Mb	0.9999996732434857	3.2675651423818826e-07
PD53333a	9+:LOH:1Mb-10Mb	0.9999922406819072	7.759318092895102e-06
PD53333a	9+:LOH:10Mb-40Mb	0.9999809129046541	1.9087095345971934e-05
PD53333a	9+:LOH:>40Mb	0.9860160898345263	0.013983910165473755
PD53333a	2:het:0-100kb	0.9692760776465709	0.030723922353429127
PD53333a	2:het:100kb-1Mb	0.8589956932045365	0.1410043067954635
PD53333a	2:het:1Mb-10Mb	0.03251056395122407	0.9674894360487759
PD53333a	2:het:10Mb-40Mb	0.16331453496227988	0.8366854650377201
PD53333a	2:het:>40Mb	0.006273349027449288	0.9937266509725506
PD53333a	3-4:het:0-100kb	0.9894807756092254	0.010519224390774538
PD53333a	3-4:het:100kb-1Mb	0.9901782287172968	0.009821771282703137
PD53333a	3-4:het:1Mb-10Mb	0.9878325697269095	0.012167430273090647
PD53333a	3-4:het:10Mb-40Mb	0.9970774419216318	0.002922558078368142
PD53333a	3-4:het:>40Mb	0.9996167987479881	0.0003832012520117595
PD53333a	5-8:het:0-100kb	0.992571098387206	0.007428901612793901
PD53333a	5-8:het:100kb-1Mb	0.9914703941233797	0.008529605876620355
PD53333a	5-8:het:1Mb-10Mb	0.9914846209037298	0.008515379096270242
PD53333a	5-8:het:10Mb-40Mb	0.9954191841672669	0.004580815832733024
PD53333a	5-8:het:>40Mb	0.9999999025133347	9.74866652235854e-08
PD53333a	9+:het:0-100kb	0.9956449975012287	0.004355002498771351
PD53333a	9+:het:100kb-1Mb	0.9951415835977806	0.004858416402219442
PD53333a	9+:het:1Mb-10Mb	0.9978941213209157	0.0021058786790842648
PD53333a	9+:het:10Mb-40Mb	0.9827702266174139	0.017229773382586185
PD53333a	9+:het:>40Mb	0.9980970351843663	0.001902964815633706
PD53333c	0:homdel:0-100kb	0.9999795205288811	2.04794711188766e-05
PD53333c	0:homdel:100kb-1Mb	0.9999752751744668	2.4724825533210224e-05
PD53333c	0:homdel:>1Mb	0.9526769064619623	0.047323093538037625
PD53333c	1:LOH:0-100kb	0.9049993492050071	0.0950006507949928
PD53333c	1:LOH:100kb-1Mb	0.8714867191218948	0.1285132808781053
PD53333c	1:LOH:1Mb-10Mb	0.6631039649425727	0.3368960350574274
PD53333c	1:LOH:10Mb-40Mb	1.2477179786104464e-05	0.9999875228202139
PD53333c	1:LOH:>40Mb	0.48017993710127344	0.5198200628987266
PD53333c	2:LOH:0-100kb	0.8791420460924247	0.1208579539075753
PD53333c	2:LOH:100kb-1Mb	0.9281938265764568	0.07180617342354326
PD53333c	2:LOH:1Mb-10Mb	0.9690288082533761	0.030971191746623952
PD53333c	2:LOH:10Mb-40Mb	0.9463850918448244	0.0536149081551755
PD53333c	2:LOH:>40Mb	0.9953983623941356	0.0046016376058644
PD53333c	3-4:LOH:0-100kb	0.9885466320011392	0.01145336799886074
PD53333c	3-4:LOH:100kb-1Mb	0.9755987608285349	0.02440123917146515
PD53333c	3-4:LOH:1Mb-10Mb	0.9883498809424085	0.01165011905759155
PD53333c	3-4:LOH:10Mb-40Mb	0.9850262087405963	0.01497379125940368
PD53333c	3-4:LOH:>40Mb	0.9807328449841695	0.019267155015830567
PD53333c	5-8:LOH:0-100kb	0.9999954340736924	4.565926307514725e-06
PD53333c	5-8:LOH:100kb-1Mb	0.9999982971044621	1.7028955379117298e-06
PD53333c	5-8:LOH:1Mb-10Mb	0.9999980159622567	1.9840377433235956e-06
PD53333c	5-8:LOH:10Mb-40Mb	0.9140504478974804	0.08594955210251974
PD53333c	5-8:LOH:>40Mb	0.997700189727889	0.002299810272110987
PD53333c	9+:LOH:0-100kb	0.9999390684754396	6.093152456045395e-05
PD53333c	9+:LOH:100kb-1Mb	0.9999988555238047	1.1444761952262903e-06
PD53333c	9+:LOH:1Mb-10Mb	0.9999728232206925	2.717677930747642e-05
PD53333c	9+:LOH:10Mb-40Mb	0.9999331499150581	6.685008494195768e-05
PD53333c	9+:LOH:>40Mb	0.9526769065796172	0.04732309342038281
PD53333c	2:het:0-100kb	0.9000715680908247	0.09992843190917526
PD53333c	2:het:100kb-1Mb	0.634943899234018	0.36505610076598205
PD53333c	2:het:1Mb-10Mb	0.009502736499228039	0.990497263500772
PD53333c	2:het:10Mb-40Mb	0.052787048197333264	0.9472129518026666
PD53333c	2:het:>40Mb	0.0017991508727343728	0.9982008491272658
PD53333c	3-4:het:0-100kb	0.9641010473876233	0.03589895261237669
PD53333c	3-4:het:100kb-1Mb	0.9664241450672377	0.03357585493276221
PD53333c	3-4:het:1Mb-10Mb	0.9586424278755636	0.04135757212443638
PD53333c	3-4:het:10Mb-40Mb	0.9898379523801396	0.010162047619860276
PD53333c	3-4:het:>40Mb	0.9986591089079518	0.0013408910920481671
PD53333c	5-8:het:0-100kb	0.9744549009978178	0.025545099002182135
PD53333c	5-8:het:100kb-1Mb	0.9707491103320466	0.029250889667953438
PD53333c	5-8:het:1Mb-10Mb	0.9707968807599839	0.029203119240016052
PD53333c	5-8:het:10Mb-40Mb	0.9841373621319934	0.01586263786800666
PD53333c	5-8:het:>40Mb	0.9999996585493269	3.4145067306516964e-07
PD53333c	9+:het:0-100kb	0.984910887539218	0.015089112460782003
PD53333c	9+:het:100kb-1Mb	0.9831876227234633	0.016812377276536776
PD53333c	9+:het:1Mb-10Mb	0.9926627473797609	0.007337252620239221
PD53333c	9+:het:10Mb-40Mb	0.9421465953522877	0.05785340464771236
PD53333c	9+:het:>40Mb	0.9933663841685981	0.006633615831401806
PD53333d	0:homdel:0-100kb	0.9999877742754228	1.2225724577201064e-05
PD53333d	0:homdel:100kb-1Mb	0.9999852398813114	1.4760118688615811e-05
PD53333d	0:homdel:>1Mb	0.971200260098704	0.028799739901296053
PD53333d	1:LOH:0-100kb	0.9410296242155318	0.05897037578446818
PD53333d	1:LOH:100kb-1Mb	0.9190907938317237	0.08090920616827633
PD53333d	1:LOH:1Mb-10Mb	0.7672854555076025	0.2327145444923974
PD53333d	1:LOH:10Mb-40Mb	2.090068347951072e-05	0.9999790993165204
PD53333d	1:LOH:>40Mb	0.6074407383595614	0.39255926164043853
PD53333d	2:LOH:0-100kb	0.9241572055168021	0.07584279448319793
PD53333d	2:LOH:100kb-1Mb	0.9558563709687502	0.044143629031249784
PD53333d	2:LOH:1Mb-10Mb	0.9812774358465819	0.018722564153418147
PD53333d	2:LOH:10Mb-40Mb	0.967286640090175	0.03271335990982495
PD53333d	2:LOH:>40Mb	0.9972478576713548	0.002752142328645149
PD53333d	3-4:LOH:0-100kb	0.9931309786001509	0.006869021399849112
PD53333d	3-4:LOH:100kb-1Mb	0.985288520501077	0.014711479498923043
PD53333d	3-4:LOH:1Mb-10Mb	0.9930124228289725	0.006987577171027546
PD53333d	3-4:LOH:10Mb-40Mb	0.9910068275482409	0.008993172451759098
PD53333d	3-4:LOH:>40Mb	0.9884080781687449	0.011591921831255238
PD53333d	5-8:LOH:0-100kb	0.9999972742753399	2.7257246600797152e-06
PD53333d	5-8:LOH:100kb-1Mb	0.9999989834222691	1.0165777309343227e-06
PD53333d	5-8:LOH:1Mb-10Mb	0.9999988155886426	1.1844113574960232e-06
PD53333d	5-8:LOH:10Mb-40Mb	0.9468495766987547	0.05315042330124536
PD53333d	5-8:LOH:>40Mb	0.998625809230648	0.0013741907693519439
PD53333d	9+:LOH:0-100kb	0.9999636248329731	3.637516702685569e-05
PD53333d	9+:LOH:100kb-1Mb	0.9999993167820774	6.832179225934045e-07
PD53333d	9+:LOH:1Mb-10Mb	0.9999837761085908	1.6223891409143413e-05
PD53333d	9+:LOH:10Mb-40Mb	0.9999600914498094	3.9908550190702105e-05
PD53333d	9+:LOH:>40Mb	0.9712002601716981	0.028799739828301862
PD53333d	2:het:0-100kb	0.9378424078447084	0.062157592155291486
PD53333d	2:het:100kb-1Mb	0.7444779506365251	0.255522049363475
PD53333d	2:het:1Mb-10Mb	0.01581681594517164	0.9841831840548283
PD53333d	2:het:10Mb-40Mb	0.08538215893721568	0.9146178410627843
PD53333d	2:het:>40Mb	0.003010149736565674	0.9969898502634343
PD53333d	3-4:het:0-100kb	0.9782547955664098	0.02174520443359018
PD53333d	3-4:het:100kb-1Mb	0.97968127733267	0.020318722667329987
PD53333d	3-4:het:1Mb-10Mb	0.9748922782870919	0.02510772171290811
PD53333d	3-4:het:10Mb-40Mb	0.9939086175658934	0.006091382434106593
PD53333d	3-4:het:>40Mb	0.9991990958266831	0.0008009041733169993
PD53333d	5-8:het:0-100kb	0.9845917147750217	0.01540828522497827
PD53333d	5-8:het:100kb-1Mb	0.9823297912576086	0.017670208742391422
PD53333d	5-8:het:1Mb-10Mb	0.9823589926516653	0.01764100734833469
PD53333d	5-8:het:10Mb-40Mb	0.9904695565746157	0.009530443425384361
PD53333d	5-8:het:>40Mb	0.9999997961642672	2.038357328806613e-07
PD53333d	9+:het:0-100kb	0.9909371425210781	0.009062857478921865
PD53333d	9+:het:100kb-1Mb	0.9898950501272199	0.010104949872780083
PD53333d	9+:het:1Mb-10Mb	0.9956068915111891	0.004393108488810927
PD53333d	9+:het:10Mb-40Mb	0.9646387641065621	0.0353612358934379
PD53333d	9+:het:>40Mb	0.9960293165537392	0.0039706834462607445
PD53333e	0:homdel:0-100kb	0.9999894384926051	1.0561507394828633e-05
PD53333e	0:homdel:100kb-1Mb	0.9999872490865082	1.2750913491892767e-05
PD53333e	0:homdel:>1Mb	0.9750227230377346	0.024977276962265458
PD53333e	1:LOH:0-100kb	0.9486447571115193	0.051355242888480604
PD53333e	1:LOH:100kb-1Mb	0.9293262243244873	0.07067377567551274
PD53333e	1:LOH:1Mb-10Mb	0.7923870242005959	0.2076129757994041
PD53333e	1:LOH:10Mb-40Mb	2.419404483098574e-05	0.9999758059551691
PD53333e	1:LOH:>40Mb	0.6417332880390937	0.3582667119609063
PD53333e	2:LOH:0-100kb	0.9337978748788195	0.06620212512118057
PD53333e	2:LOH:100kb-1Mb	0.9616349124652079	0.03836508753479207
PD53333e	2:LOH:1Mb-10Mb	0.9837847305639092	0.016215269436090734
PD53333e	2:LOH:10Mb-40Mb	0.9716133582815316	0.028386641718468438
PD53333e	2:LOH:>40Mb	0.9976216038113512	0.0023783961886486987
PD53333e	3-4:LOH:0-100kb	0.9940604748804763	0.005939525119523709
PD53333e	3-4:LOH:100kb-1Mb	0.9872656282985551	0.012734371701444796
PD53333e	3-4:LOH:1Mb-10Mb	0.993957864134156	0.006042135865843958
PD53333e	3-4:LOH:10Mb-40Mb	0.9922215065906335	0.007778493409366646
PD53333e	3-4:LOH:>40Mb	0.9899702095267906	0.010029790473209404
PD53333e	5-8:LOH:0-100kb	0.9999976453155195	2.3546844805597563e-06
PD53333e	5-8:LOH:100kb-1Mb	0.9999991218044565	8.781955435380527e-07
PD53333e	5-8:LOH:1Mb-10Mb	0.9999989768172487	1.0231827512850518e-06
PD53333e	5-8:LOH:10Mb-40Mb	0.9537500884476521	0.046249911552347894
PD53333e	5-8:LOH:>40Mb	0.9988126497396176	0.0011873502603823752
PD53333e	9+:LOH:0-100kb	0.9999685762707928	3.142372920711806e-05
PD53333e	9+:LOH:100kb-1Mb	0.9999994097855094	5.902144906402345e-07
PD53333e	9+:LOH:1Mb-10Mb	0.9999859845654737	1.4015434526260453e-05
PD53333e	9+:LOH:10Mb-40Mb	0.9999655238400277	3.447615997224305e-05
PD53333e	9+:LOH:>40Mb	0.9750227231012897	0.024977276898710297
PD53333e	2:het:0-100kb	0.9458454358337396	0.05415456416626042
PD53333e	2:het:100kb-1Mb	0.7713063824468855	0.2286936175531144
PD53333e	2:het:1Mb-10Mb	0.018263643367886016	0.981736356632114
PD53333e	2:het:10Mb-40Mb	0.09752421113293065	0.9024757888670694
PD53333e	2:het:>40Mb	0.0034828243653942294	0.996517175634606
PD53333e	3-4:het:0-100kb	0.9811591051917034	0.018840894808296607
PD53333e	3-4:het:100kb-1Mb	0.9823984927546606	0.01760150724533937
PD53333e	3-4:het:1Mb-10Mb	0.9782356971929747	0.021764302807025387
PD53333e	3-4:het:10Mb-40Mb	0.9947334439926537	0.005266556007346198
PD53333e	3-4:het:>40Mb	0.9993080439918893	0.0006919560081106057
PD53333e	5-8:het:0-100kb	0.9866612000470603	0.01333879995293976
PD53333e	5-8:het:100kb-1Mb	0.9846983538858692	0.015301646114130868
PD53333e	5-8:het:1Mb-10Mb	0.9847237019165938	0.015276298083406217
PD53333e	5-8:het:10Mb-40Mb	0.9917561994286006	0.00824380057139933
PD53333e	5-8:het:>40Mb	0.9999998239115346	1.7608846522790716e-07
PD53333e	9+:het:0-100kb	0.9921611592474756	0.007838840752524346
PD53333e	9+:het:100kb-1Mb	0.9912585688281271	0.008741431171872907
PD53333e	9+:het:1Mb-10Mb	0.9962026353991883	0.003797364600811724
PD53333e	9+:het:10Mb-40Mb	0.9693045808938765	0.03069541910612358
PD53333e	9+:het:>40Mb	0.9965679733853091	0.0034320266146907904
PD53343a	0:homdel:0-100kb	1.0	0.0
PD53343a	0:homdel:100kb-1Mb	1.0	0.0
PD53343a	0:homdel:>1Mb	1.0	0.0
PD53343a	1:LOH:0-100kb	1.0	0.0
PD53343a	1:LOH:100kb-1Mb	1.0	0.0
PD53343a	1:LOH:1Mb-10Mb	1.0	0.0
PD53343a	1:LOH:10Mb-40Mb	1.0	0.0
PD53343a	1:LOH:>40Mb	1.0	0.0
PD53343a	2:LOH:0-100kb	1.0	0.0
PD53343a	2:LOH:100kb-1Mb	1.0	0.0
PD53343a	2:LOH:1Mb-10Mb	1.0	0.0
PD53343a	2:LOH:10Mb-40Mb	1.0	0.0
PD53343a	2:LOH:>40Mb	1.0	0.0
PD53343a	3-4:LOH:0-100kb	1.0	0.0
PD53343a	3-4:LOH:100kb-1Mb	1.0	0.0
PD53343a	3-4:LOH:1Mb-10Mb	1.0	0.0
PD53343a	3-4:LOH:10Mb-40Mb	1.0	0.0
PD53343a	3-4:LOH:>40Mb	1.0	0.0
PD53343a	5-8:LOH:0-100kb	1.0	0.0
PD53343a	5-8:LOH:100kb-1Mb	1.0	0.0
PD53343a	5-8:LOH:1Mb-10Mb	1.0	0.0
PD53343a	5-8:LOH:10Mb-40Mb	1.0	0.0
PD53343a	5-8:LOH:>40Mb	1.0	0.0
PD53343a	9+:LOH:0-100kb	1.0	0.0
PD53343a	9+:LOH:100kb-1Mb	1.0	0.0
PD53343a	9+:LOH:1Mb-10Mb	1.0	0.0
PD53343a	9+:LOH:10Mb-40Mb	1.0	0.0
PD53343a	9+:LOH:>40Mb	1.0	0.0
PD53343a	2:het:0-100kb	1.0	0.0
PD53343a	2:het:100kb-1Mb	1.0	0.0
PD53343a	2:het:1Mb-10Mb	1.0	0.0
PD53343a	2:het:10Mb-40Mb	1.0	0.0
PD53343a	2:het:>40Mb	1.0	0.0
PD53343a	3-4:het:0-100kb	1.0	0.0
PD53343a	3-4:het:100kb-1Mb	1.0	0.0
PD53343a	3-4:het:1Mb-10Mb	1.0	0.0
PD53343a	3-4:het:10Mb-40Mb	1.0	0.0
PD53343a	3-4:het:>40Mb	1.0	0.0
PD53343a	5-8:het:0-100kb	1.0	0.0
PD53343a	5-8:het:100kb-1Mb	1.0	0.0
PD53343a	5-8:het:1Mb-10Mb	1.0	0.0
PD53343a	5-8:het:10Mb-40Mb	1.0	0.0
PD53343a	5-8:het:>40Mb	1.0	0.0
PD53343a	9+:het:0-100kb	1.0	0.0
PD53343a	9+:het:100kb-1Mb	1.0	0.0
PD53343a	9+:het:1Mb-10Mb	1.0	0.0
PD53343a	9+:het:10Mb-40Mb	1.0	0.0
PD53343a	9+:het:>40Mb	1.0	0.0
PD53343c	0:homdel:0-100kb	1.0	0.0
PD53343c	0:homdel:100kb-1Mb	1.0	0.0
PD53343c	0:homdel:>1Mb	1.0	0.0
PD53343c	1:LOH:0-100kb	1.0	0.0
PD53343c	1:LOH:100kb-1Mb	1.0	0.0
PD53343c	1:LOH:1Mb-10Mb	1.0	0.0
PD53343c	1:LOH:10Mb-40Mb	1.0	0.0
PD53343c	1:LOH:>40Mb	1.0	0.0
PD53343c	2:LOH:0-100kb	1.0	0.0
PD53343c	2:LOH:100kb-1Mb	1.0	0.0
PD53343c	2:LOH:1Mb-10Mb	1.0	0.0
PD53343c	2:LOH:10Mb-40Mb	1.0	0.0
PD53343c	2:LOH:>40Mb	1.0	0.0
PD53343c	3-4:LOH:0-100kb	1.0	0.0
PD53343c	3-4:LOH:100kb-1Mb	1.0	0.0
PD53343c	3-4:LOH:1Mb-10Mb	1.0	0.0
PD53343c	3-4:LOH:10Mb-40Mb	1.0	0.0
PD53343c	3-4:LOH:>40Mb	1.0	0.0
