MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
3-4:LOH:10Mb-40Mb	0.0020429751673971455	0.010256671895622276	0.004551888356861582	0.009848708187843301	0.002019806132993125	0.04327105022035539
3-4:LOH:>40Mb	0.0006763512535675886	0.004411823693576693	0.0026902489109494354	0.008634490090323936	0.0013098608181801906	0.013509271392895882
5-8:LOH:0-100kb	0.002789234688951687	0.0021053366525512728	1.7238105485262167e-08	0.0012982975136644548	1.4652830120809313e-07	0.007802812616011607
5-8:LOH:100kb-1Mb	0.004861027967157412	0.0018773053748053314	0.0006744295289333025	0.0005100386713024286	5.242675542582731e-08	0.016668596561066805
5-8:LOH:1Mb-10Mb	0.0030524730562213787	0.001473209082022535	2.0197734587057424e-08	4.177880871338857e-05	7.816950031269699e-08	0.021503843320533633
5-8:LOH:10Mb-40Mb	5.2054875966547345e-05	6.952941744593489e-06	1.2707911807297022e-07	0.000761416781011981	0.0018574488186610693	0.010309388786421323
5-8:LOH:>40Mb	4.773073349426227e-05	2.36966790889781e-05	6.914213006758984e-07	6.634700434901219e-05	3.0491265610166354e-07	0.0076306501064618715
9+:LOH:0-100kb	0.0007324977329949433	2.1656162530803157e-07	1.9921963751556859e-07	4.6940811723743534e-05	2.8244796759224753e-07	6.469150172819127e-05
9+:LOH:100kb-1Mb	5.792673277937865e-08	0.02235820154180374	0.0016713047872468677	1.1600379451692788e-07	1.215171024870898e-07	0.0032737485914941544
9+:LOH:1Mb-10Mb	3.4211160421904196e-07	0.002181787248053979	1.6120833222998955e-07	0.00010242398284324495	3.452541992743363e-07	3.1665018176312285e-05
9+:LOH:10Mb-40Mb	3.371994853296201e-07	3.6150453837535677e-07	2.7064665977682975e-07	4.795897372389391e-07	3.4140397616511107e-07	0.001496737908316277
9+:LOH:>40Mb	5.616446196654579e-07	4.7403162938053357e-07	3.74658748114598e-07	5.744588517586635e-07	3.94646712749136e-07	3.438885130435665e-07
2:het:0-100kb	0.018146248288685454	0.005969905751974806	0.012792037746403367	0.030826607438502834	0.023724946472793818	0.002924575710414494
