Sample Names	MutationType	CNV48A	CNV48B
PD53334a	5-8:LOH:0-100kb	0.397880374828364	0.602119625171636
PD53334a	5-8:LOH:100kb-1Mb	0.5611719823475735	0.4388280176524264
PD53334a	5-8:LOH:1Mb-10Mb	0.3006263255094316	0.6993736744905684
PD53334a	5-8:LOH:10Mb-40Mb	0.45650108929393557	0.5434989107060645
PD53334a	5-8:LOH:>40Mb	0.26382337052264554	0.7361766294773545
PD53334a	9+:LOH:0-100kb	0.267788313613424	0.732211686386576
PD53334a	9+:LOH:100kb-1Mb	0.8473852620329526	0.1526147379670474
PD53334a	9+:LOH:1Mb-10Mb	0.09740127698515899	0.902598723014841
PD53334a	9+:LOH:10Mb-40Mb	0.133722518804159	0.8662774811958411
PD53334a	9+:LOH:>40Mb	0.133722518804159	0.8662774811958411
PD53334a	2:het:0-100kb	0.3759500730219464	0.6240499269780536
PD53334a	2:het:100kb-1Mb	0.08038064973995798	0.919619350260042
PD53334a	2:het:1Mb-10Mb	0.0012239302475953314	0.9987760697524046
PD53334a	2:het:10Mb-40Mb	8.861339003379808e-08	0.9999999113866098
PD53334a	2:het:>40Mb	8.041981404476167e-08	0.9999999195801861
PD53334a	3-4:het:0-100kb	0.5045404899557931	0.4954595100442067
PD53334a	3-4:het:100kb-1Mb	0.2958661822744659	0.704133817725534
PD53334a	3-4:het:1Mb-10Mb	0.29201994005450255	0.7079800599454974
PD53334a	3-4:het:10Mb-40Mb	0.7052448929936602	0.29475510700633983
PD53334a	3-4:het:>40Mb	0.6042461791611186	0.3957538208388815
PD53334a	5-8:het:0-100kb	0.45734808244577124	0.5426519175542287
PD53334a	5-8:het:100kb-1Mb	0.21995449307010825	0.7800455069298918
PD53334a	5-8:het:1Mb-10Mb	0.4275189949255098	0.5724810050744902
PD53334a	5-8:het:10Mb-40Mb	0.867994820042963	0.13200517995703703
PD53334a	5-8:het:>40Mb	0.9999867125586727	1.3287441327359294e-05
PD53334a	9+:het:0-100kb	0.45222224683258555	0.5477777531674146
PD53334a	9+:het:100kb-1Mb	0.37295220240123966	0.6270477975987604
PD53334a	9+:het:1Mb-10Mb	0.44728942533866906	0.5527105746613309
PD53334a	9+:het:10Mb-40Mb	0.4149613623021656	0.5850386376978345
PD53334a	9+:het:>40Mb	0.9940333934929094	0.005966606507090584
PD53337c	0:homdel:0-100kb	0.10187917854186174	0.8981208214581382
PD53337c	0:homdel:100kb-1Mb	0.1799145008207117	0.8200854991792883
PD53337c	0:homdel:>1Mb	0.11582591906350873	0.8841740809364913
PD53337c	1:LOH:0-100kb	0.021895190219561097	0.9781048097804389
PD53337c	1:LOH:100kb-1Mb	0.018154038458945428	0.9818459615410545
PD53337c	1:LOH:1Mb-10Mb	0.005896194873387089	0.9941038051266128
PD53337c	1:LOH:10Mb-40Mb	0.0009790843899373227	0.9990209156100628
PD53337c	1:LOH:>40Mb	0.0021257517977333034	0.9978742482022667
PD53337c	2:LOH:0-100kb	0.06794387889421043	0.9320561211057895
PD53337c	2:LOH:100kb-1Mb	0.2717376852846357	0.7282623147153644
PD53337c	2:LOH:1Mb-10Mb	0.27890300420019243	0.7210969957998076
PD53337c	2:LOH:10Mb-40Mb	0.37123196252943574	0.6287680374705642
PD53337c	2:LOH:>40Mb	0.34918431389531795	0.6508156861046821
PD53337c	3-4:LOH:0-100kb	0.14857783843615524	0.8514221615638448
PD53337c	3-4:LOH:100kb-1Mb	0.6205347425953445	0.3794652574046555
PD53337c	3-4:LOH:1Mb-10Mb	0.54042380893431	0.45957619106569
PD53337c	3-4:LOH:10Mb-40Mb	0.8338494182051693	0.16615058179483064
PD53337c	3-4:LOH:>40Mb	0.9028242748906646	0.09717572510933528
