MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
2:LOH:>40Mb	0.014051896047212012	0.005403879240359686	0.009063250696027012	0.03896244226312774	0.00027850733390385687	0.010847769069549713	0.001143293822246676	0.01317496500694439	0.008314390509090117	0.006218789535045204
3-4:LOH:0-100kb	0.005293851390169521	0.018233313182054046	0.011068655901947722	0.01049925750308745	0.0013404348869644877	0.0010714563429849021	0.00012040261865507773	0.003958614123905022	0.0030598302854814106	0.0018845609978190225
3-4:LOH:100kb-1Mb	0.013245891869692059	0.025531591549515724	0.020516204271158644	0.012388736964505825	0.006183775952351311	0.012260956201150747	0.0012293663352339317	0.017878317924425177	0.03562669634440681	0.007926595658222268
3-4:LOH:1Mb-10Mb	0.01993516858376097	0.07003379083418167	0.04958695445392578	0.011632108821669363	0.004185015535844628	0.016234309633005067	0.0017556213894002325	0.013098073798698807	0.08065964439883828	0.010469551717486638
3-4:LOH:10Mb-40Mb	0.0022594273592773106	0.008689287869485725	0.01724993622542968	0.008812283785649697	0.0023987468898879617	0.002556829584368643	0.004045838597280635	0.009119466075062803	0.04401220306172036	0.012754394369391804
3-4:LOH:>40Mb	0.00047479585751032617	0.004345152437011457	0.008699225676287482	0.0028785773593016017	0.0004782580350307164	0.0015121508411877471	0.0026075616255033652	0.01144937882641699	0.013096170081453237	0.00810378313393068
5-8:LOH:0-100kb	0.003386916902329169	0.0013103997248369837	0.003131476717011026	0.0026137017903180037	5.110932807639301e-08	0.0031964697255157048	2.0614297824295136e-08	0.0006914979009520295	0.007776711787049635	0.0017841209120611269
5-8:LOH:100kb-1Mb	0.005726251753194589	0.0015281169178933852	0.0032330590652308545	0.0025970437055966044	3.1591595259783386e-08	0.006176030554267698	0.0008631156551501817	0.0005437427040629927	0.016892558965482748	0.0021706335025563563
5-8:LOH:1Mb-10Mb	0.007198835356069537	0.0016601605694989985	0.001470188556941423	0.0010371194907868642	3.006595939325507e-08	0.0013207226742379063	3.161287594366513e-08	9.774701140941034e-08	0.022825952180028253	0.0003840841831672037
5-8:LOH:10Mb-40Mb	1.5125797963211341e-05	0.00014292226368940676	0.0016576330316417475	3.069482229989262e-07	0.0005451081716720551	0.000938229254247318	1.3321272426480846e-07	9.473994837257749e-05	0.011355954977909732	0.006952941039535005
5-8:LOH:>40Mb	0.00029617653615822805	6.0609532279656266e-05	0.0011860472554965896	8.539319267697465e-05	1.7819407698738133e-07	0.0007757135302458273	2.2005571040040195e-07	0.00019485251337130193	0.008328538700104957	0.0009423680059420114
9+:LOH:0-100kb	0.000984704868121753	2.9982133909811636e-07	6.588943200047659e-05	0.00020870301412244884	2.5587659663983686e-07	0.00023285965282482835	2.0130466758416786e-07	3.0782661665895715e-07	2.4498428610257862e-05	3.6679359340325845e-05
9+:LOH:100kb-1Mb	8.578181914842276e-05	0.027399447417509038	0.00679521615945518	0.0009532088338889366	1.317129489564195e-07	0.0008448008249986572	0.001374985520891947	3.1716066246190166e-07	0.0032792223332848993	0.0012237134816754747
9+:LOH:1Mb-10Mb	3.325743737292441e-07	0.0022896120096369543	0.000895070449768447	8.238192642551212e-07	3.048069005728848e-07	3.9411568607761183e-07	1.6173376138794992e-07	0.00024591131512494255	2.580910498295452e-07	6.182405412857861e-07
9+:LOH:10Mb-40Mb	2.9544728441521784e-07	4.172170557437127e-07	4.1487366948089743e-07	5.455688746991428e-07	2.8684774466825047e-07	2.565747913926053e-05	2.560800037347327e-07	4.000893599709343e-07	0.0024790148606922456	4.576911377952797e-05
9+:LOH:>40Mb	4.115753839073477e-07	4.966388820548672e-07	4.0704575452465976e-07	7.460847180595919e-07	3.433990453061142e-07	6.040104985061134e-07	3.2100973246684816e-07	4.5481808484737486e-07	3.2860976617143934e-07	6.700401330306249e-07
2:het:0-100kb	0.020510484929583298	0.006026298537032346	0.013594771011890999	0.019920313535439504	0.02242251029703766	0.01035729025606372	0.010131647913286251	0.04161934776855105	0.0030782921380728113	0.025846034099140526
2:het:100kb-1Mb	0.005453813038237456	0.004305728942139524	0.01258084011846222	0.011089095204661135	0.07295450376346707	0.013529816168399975	0.011647395830832465	0.02004660147629693	0.002772974331690428	0.041800953229424065
2:het:1Mb-10Mb	0.001599443239609286	0.004327630942796638	0.008661717118580957	0.0017161358650250235	0.22903730750083923	0.0011724087627840104	0.010214005205712055	0.009481976970142511	8.184570251756896e-08	0.07252749732956659
2:het:10Mb-40Mb	0.0034996353404386582	0.000370504172928392	0.005250712880217634	0.002096280745138017	0.09678993973421711	0.0007506371438423898	0.0003420162145337713	0.0009289512033863913	1.1212909418745199e-07	0.0801625916695923
2:het:>40Mb	0.00027394469570880543	0.0003136428470747532	0.0010205801333079024	0.0005576105406477439	0.03339055423382888	0.0023775442019374716	0.0024387792018798395	0.0055394035323618595	1.838054327940597e-07	0.06566175531463728
3-4:het:0-100kb	0.023091876113612672	0.034110895902849735	0.031215050444588995	0.06099966005240276	0.015605372356949374	0.030295229473849758	0.030951162199489773	0.01804245154839009	0.026180214583873748	0.05056423326022923
3-4:het:100kb-1Mb	0.06842349097132683	0.08669658595696092	0.061011863991566315	0.07199874942190945	0.03620939881540835	0.09147678815759719	0.05843900297302753	0.05189965575002134	0.01964218615439222	0.06413581985980273
3-4:het:1Mb-10Mb	0.24415237277746202	0.12333851901814341	0.20779632948338986	0.09603492099071445	0.09000574593897909	0.08417001795023679	0.06592443990055472	0.17262101501226426	0.06054879257455468	0.07291013426613063
3-4:het:10Mb-40Mb	0.16636076560243965	0.09590978292748333	0.08847083233296871	0.18649378903210162	0.009704261436127126	0.08938771241344512	0.0294477316865234	0.12261704643256963	0.023457941567758097	0.037194531085515584
3-4:het:>40Mb	0.0501816824474372	0.12508883368223905	0.06264259736455528	0.1459564657136798	0.0	0.09479232796101314	0.06666116371665573	0.05419494882486106	0.007973750181263313	0.06234193407175041
5-8:het:0-100kb	0.029630956421365227	0.035548896618056464	0.03641529474582057	0.03141079398015222	0.012625838534440846	0.03445145543431863	0.035463231070716576	0.0244750193040818	0.02714335881639272	0.025354625177569687
5-8:het:100kb-1Mb	0.04525716402102262	0.03578180609736591	0.04892423882947316	0.03284187274053693	0.020337083986960353	0.07315156572731212	0.05652807157952339	0.016412525147316046	0.035588972698897124	0.046116591222817076
5-8:het:1Mb-10Mb	0.09714387444631939	0.03141408905852586	0.03591709196101874	0.006069686201390141	0.03184873185120523	0.1904879353195429	0.02080429473455979	0.027247678565436216	0.19202001977711916	0.03845884572855539
5-8:het:10Mb-40Mb	0.07086684741222825	0.0006763343989678105	0.01206258197210559	0.028107270943085752	0.004284907794232708	0.046376424842287635	0.0039041170573864293	0.0027986159135417665	0.1086331681115189	0.03852401377895148
5-8:het:>40Mb	0.0029445300929419817	0.0024844388425556475	0.004224238425049638	0.02888991219337299	1.4114087605321401e-08	0.024489589769249278	0.020188262570200094	0.0018080220028230088	0.016300012876731673	0.010996632827591774
9+:het:0-100kb	0.004361912766334512	0.054649165514856574	0.0231151002521824	0.03134232975677151	0.004479843477270151	0.0121142079905556	0.02845949889626354	0.004392940270481632	0.006030041974757978	0.016489598327510607
9+:het:100kb-1Mb	0.022253491583414872	0.019175381170681474	0.03573793415581813	0.01938609867936151	0.011962926305268412	0.012733578506335448	0.22694450810551645	0.0038360618555907423	0.04805969713255763	0.01941324881792866
9+:het:1Mb-10Mb	0.019759701007214973	0.0038206659763582707	0.008398837794315005	0.019365189636096146	0.002542043726776626	0.00836235856764688	0.10589531606195124	0.01990280948573343	0.09705891266465187	0.007810952572609802
9+:het:10Mb-40Mb	1.6515911582359877e-07	2.8131250324747724e-07	3.0210592555590665e-07	3.1206498363189894e-07	0.000499938062942995	0.00012611539559628682	1.1742613210685704e-07	1.8310807242016836e-07	0.009736066076258112	0.0024989825618320794
9+:het:>40Mb	2.971260979123258e-07	4.398721922882487e-07	4.1682312047264246e-07	5.658179306955447e-07	2.853396311763845e-07	2.5646276518394016e-05	2.613137302631685e-07	4.2228709641989324e-07	0.002271900609465547	4.580935575276612e-05
