MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
3-4:het:100kb-1Mb	0.017296392162618305	0.05954399098176509	0.06094289501824278	0.004514454541481428	0.08031888546887785	0.018018737608435913	0.05437755295541138	0.007564288782887161	0.005512308021425269	0.015722722304053603
3-4:het:1Mb-10Mb	0.0465145053633023	0.21598624344915152	0.08058873031521216	0.10952821120619774	0.054121212586489414	0.061017850040225315	0.1454246033682648	0.02572873077413533	0.01802190868416801	0.03524799769278616
3-4:het:10Mb-40Mb	0.00047085796017199756	0.053450143516733155	0.048192613647221376	0.2301873976737261	0.03770034684494021	0.02800738317463483	0.12029241228422052	0.03899423950817436	0.05075619852170348	0.06836353875230998
3-4:het:>40Mb	0.007283613259728554	0.020171921463352192	0.0827936794103789	0.23994363248348236	0.06031880902217143	0.013440768661839684	0.12712985782901343	0.004133222774180467	0.04918995203915984	0.04693983368704721
5-8:het:0-100kb	0.003564083285576203	0.003688129062415726	0.023382057555324555	0.004277084663877986	0.024607354462490322	0.002106776821245262	0.035150909768165664	0.009826347419213448	0.0019003063430301382	0.00033872390637782244
5-8:het:100kb-1Mb	0.02345918236553132	0.054391191115951185	0.1256785904522985	0.01600202344403442	0.01405163747171173	0.02083712521279267	0.056653937166556714	0.01866369588475209	0.0017020979978906326	0.006955617130865335
5-8:het:1Mb-10Mb	0.0037098308159937685	0.1718448448751019	0.07685358686121163	0.030030047262553126	0.025529517105769627	0.05644740097852377	0.03250694142770953	0.22074142999947072	0.07148696700576693	0.004916095067260642
5-8:het:10Mb-40Mb	8.039464590837043e-05	0.02067857538526084	0.005197562255906689	0.03836434957115102	0.008348073341607006	0.013526632645668996	0.033092981540644356	0.1426837880164385	0.00037586060419670276	0.01810033736071148
5-8:het:>40Mb	1.830704199790034e-08	0.002272461094971021	0.009133939447825128	0.03691708134916958	0.016410624654655523	0.0023975037900353514	0.020814981731832632	0.019196250020140724	0.009001183905148907	0.008717346866269224
9+:het:0-100kb	0.0005651529557349022	0.008741097668101645	0.04037143440167256	0.003970313607424851	0.012894941436014164	0.002646822187397646	0.025875407995768568	0.006097089496404351	0.009774933627933252	0.0067308385464900766
9+:het:100kb-1Mb	0.00046768377600500346	0.02835455746272963	0.2162328522093594	0.0027907187984396844	0.006856931241326123	0.01643956495556999	0.014854080892075761	0.025164223009969646	0.16721594620994437	0.0009452990027658359
9+:het:1Mb-10Mb	0.0004716004262803608	0.03600306607956668	0.08649256850359961	0.004535233628711615	0.007323103979898633	0.02514742705863938	0.0030521619232217745	0.1014961960081564	0.11661711069056764	0.0011782179994043673
9+:het:10Mb-40Mb	0.0008800546992756608	0.0008816676188229877	7.545384351992368e-05	0.0009899033614350116	0.0010370419710113766	0.00091358995965237	0.002016885269373603	0.019175662948852902	0.00014983387716643648	0.0007300334979984768
9+:het:>40Mb	1.1263505388114936e-06	2.116678909125369e-07	3.283007390814108e-07	7.148773432774647e-07	2.9728108124981133e-07	3.845996559093123e-07	4.783731882440634e-07	0.0016061907768824923	4.4549095250090433e-07	5.36835137268099e-07
