MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
3-4:LOH:0-100kb	0.0014820043462998457	0.0027723319157783523	0.01733789509361259	0.003453878826516359	0.010407970110561422	0.0030901086404892908	0.0004332772719088496	0.0011730175769094587	0.010309875450556661
3-4:LOH:100kb-1Mb	0.003966314338370012	0.003884074592388629	0.05967354668568532	0.0019465970478962902	0.0035894748806694567	0.004513383388221612	0.008074673170084246	0.02682523074046003	0.011198574661377449
3-4:LOH:1Mb-10Mb	0.019070243966045838	0.008961882949300844	0.03939464913080855	0.00044638136292133896	0.005292721548096324	0.009630220607533886	0.04248042883118615	0.12013667713850737	0.011159924757935471
3-4:LOH:10Mb-40Mb	0.0025276432269861005	0.001021714800846496	0.0154654824074359	6.324081564201833e-08	0.008668762420610108	0.003186530719858638	0.001201835554211641	0.05867439227454213	0.0026851822271204283
3-4:LOH:>40Mb	0.0013114853412315598	0.0010265398802999214	0.005238093179092545	5.415394972448695e-05	0.009408534023554295	0.0011151407662405256	0.002230708853440433	0.019643331602444504	0.002847085019268505
5-8:LOH:0-100kb	0.004145581196302146	0.0008505375132229176	0.002706534852421356	1.650632138350261e-07	0.0011979690782670915	0.0023860193981609257	0.0007590390871661867	0.00039176589380410573	0.0018760535823012247
5-8:LOH:100kb-1Mb	0.0037312358345316455	0.0026827807213271626	0.007095321845650062	9.593408808598269e-05	0.007232686167020716	0.005328536180131778	0.00608738350798319	0.009983357961106947	0.008141177198874914
5-8:LOH:1Mb-10Mb	0.00809013675487904	0.0023590351092845196	0.0073058980679519435	0.00047298345517933884	0.007996023634890435	0.010536739236097077	0.0001791738521232844	0.0347943283784798	0.00654326650336543
5-8:LOH:10Mb-40Mb	0.0003994389933166076	0.0005454920657860995	0.0014971990730913022	0.00017052188369305556	0.0015036978404778267	0.000882193574675032	4.019439380662515e-05	0.025661655823637376	0.0010348328400222684
5-8:LOH:>40Mb	0.0004073306933031162	0.0007958013602354441	4.456300564704918e-05	0.0004239908738072984	0.0005199000922814205	0.00027113721444365523	0.001983238019247295	0.003299989334538509	0.00012763399141377363
9+:LOH:0-100kb	0.001238551700653261	0.0025049584123543467	0.0003363991532006239	0.006222959201047331	0.00479669817435763	0.0027559362175085768	0.041337275188292326	0.000869495281972199	0.009783565265760573
