MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
2:het:100kb-1Mb	0.0055514468661444025	0.005559590197103717	0.07516138162463903	0.009846640542236855	0.011259131175333437	0.011584203495913244	0.017273132211066838	0.002970370803412328	0.03466011410582268
2:het:1Mb-10Mb	0.0003361191046835188	0.0047873415783332976	0.2221750608086586	0.0011295015583340272	0.009984029717765566	0.0009695944572116844	0.009462758333459362	6.500165389056179e-08	0.04991381601267335
2:het:10Mb-40Mb	0.0031024523805562153	8.462801304709222e-05	0.10089514616622182	0.0008902419228815717	0.0001743928556714991	0.0014059292848881454	0.0024157660824534214	9.976652830090416e-08	0.058004012283071234
2:het:>40Mb	0.00011926421912683338	6.207051402640217e-08	0.038273721385523915	0.0017691288427719076	0.002062198961622581	0.0005356610036427867	0.005444182715582855	1.7907854683587359e-07	0.0462898482736108
3-4:het:0-100kb	0.028869004120351746	0.03261040571145713	0.016281249730382114	0.030158701370237396	0.029318491728045046	0.07159258064706592	0.018131057447753847	0.025520843914709986	0.0369425618749392
3-4:het:100kb-1Mb	0.06761755938641727	0.08125493418425321	0.036695253467187286	0.08589662572368979	0.06101283178664744	0.07392743877135217	0.046321923027218846	0.01864222625736147	0.06722012325655669
3-4:het:1Mb-10Mb	0.24889164492487909	0.15103573068976403	0.08899054685607552	0.10771344131431888	0.06553233973681927	0.08007481820415706	0.1743553839623928	0.056751142747689304	0.11040431575849652
3-4:het:10Mb-40Mb	0.16417772632092237	0.09645628090947866	0.008159478784073144	0.09987056968408335	0.031000947221087927	0.1743366470374167	0.12072921704500914	0.021538496712455526	0.04771698151696455
3-4:het:>40Mb	0.05171501030250511	0.1073025161584519	0.0	0.08641781894935775	0.0701193038607146	0.1509853592887521	0.056842247661159036	0.00938793176668696	0.07450496432837099
5-8:het:0-100kb	0.029152579009532928	0.03915011986158788	0.011746203815564514	0.03766517742536962	0.03480070918099955	0.030426666533458047	0.026907962352549882	0.02456080916187858	0.027559512496830793
5-8:het:100kb-1Mb	0.0484749728650786	0.03472791233099997	0.02036070286179893	0.07281337402295321	0.05635251726489514	0.03306882191100158	0.017901621147321644	0.03653760028537363	0.0449919546302408
5-8:het:1Mb-10Mb	0.07202250781236216	0.027002742958720773	0.033412070609629155	0.16630773838609458	0.02387377207151985	0.012062062616460026	0.033318984594084215	0.20095600076019765	0.047410922834769956
5-8:het:10Mb-40Mb	0.06280259926630549	0.0004129409370190729	0.004958655589852583	0.04714979952876092	0.00472181408492844	0.025792044052213896	0.0036038096723495982	0.113339884839952	0.03529469043284621
5-8:het:>40Mb	0.0021589055562373006	0.0014229111590169197	7.1316722127789945e-09	0.018607714525871302	0.021237642523037722	0.03164817818895585	0.0026495749276864446	0.01479914899915002	0.009094359466614606
9+:het:0-100kb	0.005146788501879201	0.05096880719065666	0.00538469456784469	0.015373937107360689	0.028670144818170228	0.031956896177498494	0.004634873076056749	0.005393764704403879	0.017545687562824243
