MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
3-4:LOH:>40Mb	0.0009104384258924369	0.006570587720817684	0.004314554472633461	0.0015650233153926862	0.011104437692204244
5-8:LOH:0-100kb	0.0023843772508147154	0.0019028971428528508	8.30127901930311e-05	5.391058961468076e-08	0.00803352066401743
5-8:LOH:100kb-1Mb	0.0032897460948650803	0.0014023314216596817	0.000847931964726083	2.578597301905461e-08	0.017285362662681082
5-8:LOH:1Mb-10Mb	0.0017093162626429504	0.000980911258109387	1.6060848781016546e-05	5.793765240014181e-08	0.020366818346083164
5-8:LOH:10Mb-40Mb	1.7546337740359518e-05	0.0008140244396204466	0.00014247969677565919	0.00140415208650424	0.00925166376029523
5-8:LOH:>40Mb	5.8787731171769945e-05	6.616743244528323e-05	9.10226261346736e-05	2.6554266025868855e-05	0.006503466766595238
9+:LOH:0-100kb	0.000607134909683964	1.402160991986534e-05	1.908101609515711e-07	2.6263596716091795e-07	0.00010988818031847813
9+:LOH:100kb-1Mb	7.82883725455008e-05	0.015006385463282328	0.004096737451478134	7.539312537829801e-08	0.002408599555444866
9+:LOH:1Mb-10Mb	4.855152301050936e-06	0.0016441385690393418	0.00012073782689601132	3.122499056473771e-07	2.93978793166616e-07
9+:LOH:10Mb-40Mb	2.6703717837861517e-07	3.359549710069132e-07	2.636197070415847e-07	3.1229609518845793e-07	0.001560362793252068
9+:LOH:>40Mb	5.911394987379026e-07	4.951582741341554e-07	3.977046905845327e-07	3.9454471448152615e-07	3.438313325432318e-07
2:het:0-100kb	0.022500023655593396	0.010356130684074287	0.016250557024322917	0.025630948645994068	0.0033632949641809427
2:het:100kb-1Mb	0.008172018656615591	0.010473206957103685	0.014031882742419838	0.07118705417960883	0.0027187247627069367
2:het:1Mb-10Mb	7.371391276933536e-08	0.011708169035871662	0.011759511002141494	0.19036899819970132	4.8941257713153163e-08
2:het:10Mb-40Mb	0.0021602754397750347	0.0076319125220490665	0.0012249707639250572	0.09890497155487538	9.682453257802592e-05
2:het:>40Mb	3.43827646941719e-05	0.006484728129437087	0.003235938269394083	0.04749462404055521	1.8681797942399214e-07
3-4:het:0-100kb	0.03689428162178956	0.036853300780057906	0.03014785174280405	0.020495613203383983	0.024961168747395276
3-4:het:100kb-1Mb	0.08085414279252291	0.07623107997700572	0.06494437906891108	0.037914586644619705	0.02250140971504152
3-4:het:1Mb-10Mb	0.18853986263275146	0.14784916067495943	0.08702443995513022	0.09662506565451622	0.06451701931655407
3-4:het:10Mb-40Mb	0.17489742994308471	0.10167750114575029	0.05054675504565239	0.014868024329189211	0.02503201545216143
3-4:het:>40Mb	0.0947462248429656	0.1032820930639997	0.07948961628600955	0.00030537700458864946	0.009926071313675493
5-8:het:0-100kb	0.03179113792255521	0.034190001464448866	0.034313525538891554	0.013710034782998265	0.028630818114615975
5-8:het:100kb-1Mb	0.04823332564905286	0.03570793960243464	0.05476652102544904	0.021973116947337987	0.044270040653645995
