MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
5-8:LOH:0-100kb	0.0017508836413105656	0.003883066549670815	0.002418865809697053	7.39799607885061e-08	0.001691610646121262	3.3885200423355855e-08	0.0018460879251944106	0.007790338442643474	0.0020049334696587095
5-8:LOH:100kb-1Mb	0.0017774359747684443	0.005406864344650728	0.005451321107915135	3.46603937373402e-08	0.0016882108238709748	0.0008094428576142664	0.0017462422140228284	0.01649268442448317	0.0029311791623663906
5-8:LOH:1Mb-10Mb	0.0022107583647682817	0.006056003543705231	0.0010747156693933313	5.078763980037593e-08	0.00021242167345519647	5.0432370102271304e-08	0.00023901256442054652	0.022502409395581253	0.0011252528327244703
5-8:LOH:10Mb-40Mb	9.071484306584665e-05	0.00012096086285394492	0.00029797229126053536	0.0009396601574306374	0.0006122048021265236	5.9585637189987215e-05	4.099471230034624e-07	0.01129552331108897	0.005549893833564852
5-8:LOH:>40Mb	0.0001684713469525434	4.618690638196199e-05	9.61889049299458e-05	2.1879972978311457e-07	0.0002804313927628499	2.1852041784953257e-07	0.00012578429221969057	0.008761953260054724	0.001517770413548849
9+:LOH:0-100kb	2.5938429153882226e-07	0.0010634676831733714	0.0001758275757011063	2.793744818418986e-07	3.596366540392637e-07	2.2157981158343887e-07	4.4342100894994016e-05	6.479925288793709e-05	3.709547052864082e-05
9+:LOH:100kb-1Mb	0.027260469108196902	6.707387989024483e-08	0.002666851761895046	1.3181577905641008e-07	0.0007212229117102709	0.0017250095157215028	1.6312250338046398e-07	0.00295352165495558	0.0013134969352648796
9+:LOH:1Mb-10Mb	0.0024170065511461302	3.949877039843841e-07	1.1680835036145255e-05	2.7925832213782086e-07	0.00048120162290011593	1.5957223162388345e-07	5.937295499691686e-07	2.4298229661212645e-07	0.0002448269361945066
9+:LOH:10Mb-40Mb	6.765965947959529e-05	2.670940610904893e-07	5.272089093999455e-07	3.045770982623708e-07	4.128329783981144e-07	2.9271476840619927e-07	4.7330446456328446e-07	0.0023130710216899787	2.840577509958919e-05
9+:LOH:>40Mb	4.4224499216483084e-07	4.2293929752190707e-07	6.752589072789305e-07	3.556930127501801e-07	4.385045837196344e-07	3.3256944107051825e-07	7.179943253277088e-07	3.363697244296304e-07	5.231647275039109e-07
