MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
2:het:100kb-1Mb	0.018353902833769097	0.011756981422588525	0.035309263933449984	0.011791419776054681	0.0015917190796187696	0.011359418124407626	0.011469923514523543
2:het:1Mb-10Mb	0.0015547441832366004	0.02732052274571089	0.15959432244300842	0.017244771889513687	0.0016474168344786477	0.00010803667277400563	0.17064548459164144
2:het:10Mb-40Mb	0.0008172984927310445	0.011722160798192079	0.2285924218595028	0.011207168786010833	0.0007987925528937723	7.680215345261754e-05	0.11269100685799457
2:het:>40Mb	0.00020593006863272478	0.000996925556023811	0.27936052694916724	0.0018445138240307378	0.0009196372163795985	1.6689856142448888e-07	0.027034666193561013
3-4:het:0-100kb	0.049779520123079235	0.010355096697939494	0.003134284162627295	0.007325831848283854	0.0021275136090957857	0.003874639949841452	0.0042446833031649514
3-4:het:100kb-1Mb	0.07174298457801342	0.05841463815741008	0.019574249314609916	0.017056248382432387	0.011583412994514219	0.009722836081862737	0.016017009401521135
3-4:het:1Mb-10Mb	0.10663293167948723	0.15256686229724437	0.044895270883571356	0.12309093175455928	0.01455624502064893	0.03716206148499623	0.059428025495726615
3-4:het:10Mb-40Mb	0.09071576730141033	0.051632452309986546	0.0010718280432047323	0.18625724263489246	0.04972179228439927	0.03928121134173125	0.05337703176308423
3-4:het:>40Mb	0.1003916602768004	0.03646600930124805	0.007112061694752186	0.19667416580021382	0.07107357448202947	0.004136444621159967	0.031499318592597095
5-8:het:0-100kb	0.02862075773299921	0.010306183439278698	0.0037947054220812504	0.007689992318685625	0.006429870910541737	0.009673213715284418	0.0015866311470006168
5-8:het:100kb-1Mb	0.037693283266271464	0.08650377209001818	0.025556722163432823	0.02787297126895865	0.018550875760847702	0.02204919139505364	0.010652749815490097
5-8:het:1Mb-10Mb	0.0229631628153129	0.13330420381156727	0.004731720790857121	0.03647232920589886	0.07102351112273596	0.22345233220607041	0.020210460870391102
5-8:het:10Mb-40Mb	0.003491839437008366	0.012676507214895877	0.0001478668189542276	0.04254768237357012	0.001497414691785579	0.13717474699020385	0.014880728445295971
5-8:het:>40Mb	0.008177200533272071	0.0029007850246901513	1.7878728897358086e-09	0.03353402986098444	0.016757894945263273	0.024524387596454745	0.005191285671852768
9+:het:0-100kb	0.020284717148429082	0.020513637894740384	0.0013043155676046325	0.008120994731889795	0.01949611069065213	0.006277333202888258	0.004784682982974573
9+:het:100kb-1Mb	0.02141150047045841	0.091668401175353	0.0002157370975669437	0.009028909483673716	0.21926309987902642	0.021905580984437165	0.005817940066001839
9+:het:1Mb-10Mb	0.006666196584193358	0.058445888279798054	1.0849132204210045e-05	0.005102371529492018	0.1283353384412476	0.0896969996774078	0.007690144632903379
9+:het:10Mb-40Mb	4.858441468884733e-05	0.000370712984703836	0.0008906469220985968	0.0009985616909875717	0.00026668178057111193	0.01640265871569625	0.0005893800242127156
9+:het:>40Mb	2.847131373151512e-07	1.965026367889422e-07	9.1467582592486e-07	5.335660492633565e-07	5.261762430563976e-07	0.0012362023184940086	4.1237037235575257e-07
