MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
9+:LOH:>40Mb	4.31259745816704e-07	4.5123638095390104e-07	7.109202591237817e-07	3.5132150074446143e-07	4.88778474192486e-07	3.3765508869354474e-07	3.354920974629749e-07	6.593499372797851e-07
2:het:0-100kb	0.0211022952204803	0.004235043037840569	0.01800672717090606	0.022228850624524055	0.03276406199041503	0.009778182792215375	0.00284329444557764	0.01755972779239528
2:het:100kb-1Mb	0.004990099471692702	0.005982237603664089	0.012084386738620197	0.07245233245193958	0.019405289358692245	0.011986109822810249	0.0029478472879628727	0.03500295790970995
2:het:1Mb-10Mb	5.081423616388747e-06	0.004304348239657827	0.0016507698540860361	0.21728285983204843	0.006543642989739524	0.009520416060391597	7.951682153617411e-08	0.050209737037992565
2:het:10Mb-40Mb	0.002748655231287529	4.506855185113068e-05	0.0018868793840901787	0.09565998744219542	0.0021256603368976813	4.1248547881309604e-05	2.0421679068657866e-07	0.059366525534633396
2:het:>40Mb	9.698004141966975e-08	8.064433814070071e-08	0.0006618509209282309	0.03557335626537906	0.0044527679931485944	0.0016291890080509575	1.941754091117076e-07	0.05019017073214321
3-4:het:0-100kb	0.027579342718236147	0.032249321285635235	0.05832878553890623	0.015666339120361954	0.02097984933294356	0.028724617495317944	0.024896910493262113	0.043102025784319264
3-4:het:100kb-1Mb	0.06802980929613113	0.0849675688892603	0.0770745721599087	0.036210511876270175	0.05122105631919112	0.06157557274214923	0.019532293611264323	0.07224951334297657
3-4:het:1Mb-10Mb	0.22860707640647887	0.14690285634249448	0.10925467222905766	0.09496708208695054	0.1701628462970257	0.0681916602794081	0.06019117080140859	0.07118095243815332
3-4:het:10Mb-40Mb	0.16651307798922063	0.08801921684294939	0.15718354080338032	0.011262127251231586	0.11800252530723811	0.0338960339827463	0.023955802959389986	0.05308594786279173
3-4:het:>40Mb	0.05385920486470241	0.10391881026094779	0.14009362284094096	0.0	0.0704348067533283	0.06993672195190812	0.01043531340546906	0.07035599732293946
5-8:het:0-100kb	0.031415059763603495	0.03811746100662276	0.026469507547252514	0.011726921648792086	0.028977916361764073	0.03473514253273606	0.0256333433650434	0.03296674674197028
5-8:het:100kb-1Mb	0.05179454535065883	0.041315398106817156	0.03411372422473505	0.020539947315119208	0.02017265371454414	0.05887893605977297	0.03693139215465635	0.05609504942782223
5-8:het:1Mb-10Mb	0.09933550108224154	0.039834257442271336	0.014628608062383818	0.03250409618020058	0.0360090820190635	0.029846351620508357	0.19893229201436044	0.1015064052073285
5-8:het:10Mb-40Mb	0.0622317975189344	0.0005039635874768322	0.0239323519804708	0.005354755520460445	0.005529637857104035	0.0044725108253049935	0.11091811262071133	0.050083072297275065
5-8:het:>40Mb	0.004810449421570447	0.0018543967676981233	0.028525725520004243	6.379562762504065e-09	0.004303085499551003	0.019837171271218493	0.015260137867551293	0.01261959876128067
9+:het:0-100kb	0.008860703005086491	0.04792252468604602	0.028761680531315507	0.0050017194957681	0.006014061468410148	0.025947667304935747	0.005450093839458674	0.017814035310253475
9+:het:100kb-1Mb	0.024186969712036172	0.022631286266259848	0.017125630823575193	0.011780152880672858	0.007112733330577612	0.20748815409839153	0.04862281197682023	0.011824956384838145
9+:het:1Mb-10Mb	0.016192634694216394	0.0006109681254247335	0.01663797800094244	0.0019084806853447843	0.018182418344863435	0.10266085531562567	0.09005819011479615	0.005152826306562766
9+:het:10Mb-40Mb	1.0555473622275713e-07	1.724329919028378e-07	2.3827419274979887e-07	0.0008005750459278005	1.6677415047183785e-07	8.983895258385388e-08	0.008975318271004085	0.002219380577688099
9+:het:>40Mb	2.9057075543015353e-07	3.372908317800238e-07	5.469576080230354e-07	2.937133911729006e-07	4.063729466707855e-07	2.805077101086795e-07	0.0022532917308589616	6.537811752771461e-07
