MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
2:het:1Mb-10Mb	0.0020201326131399355	0.042875804885694466	0.1709381340444088	0.0007434303110153806	0.0006173237776253159
2:het:10Mb-40Mb	0.00033630623596808906	0.031867332156061724	0.2058780735731125	2.877810648982404e-07	2.434442075216481e-07
2:het:>40Mb	3.2082418712775505e-07	0.012870990942081733	0.2268996123969555	1.0564544127689147e-06	1.708387674259626e-07
3-4:het:0-100kb	0.03603071472402007	0.015062631027226416	0.003622718906169382	0.0020306900500639104	0.0039259216752075155
3-4:het:100kb-1Mb	0.0503869593446143	0.05158926735632122	0.025829859478399157	0.04650311606004834	0.012966585138347
3-4:het:1Mb-10Mb	0.12732315227389335	0.1352586447633803	0.05431924613192678	0.07120424665510655	0.035517994827823716
3-4:het:10Mb-40Mb	0.14246390279382468	0.052909675092200105	0.0004637201192508655	0.0782468250580132	0.03637235803995281
3-4:het:>40Mb	0.15099579870700836	0.023813287862971988	0.009410573725377845	0.11200264003127813	0.006073024291545152
5-8:het:0-100kb	0.028233066992834212	0.005602520598406784	0.004742755081388168	0.019125677635704507	0.011686899789301606
5-8:het:100kb-1Mb	0.038351385528221725	0.04683203988475725	0.04213263845071197	0.06881108628585934	0.02494130495470017
5-8:het:1Mb-10Mb	0.014600034798804699	0.11053287499351427	0.009897017138059142	0.06426726936828345	0.22237402364611625
5-8:het:10Mb-40Mb	0.007903664908584745	0.009767439952174755	0.0002741893187835664	0.010834545177507881	0.11934388242661953
5-8:het:>40Mb	0.011084931155209574	0.002110929154943335	1.4753005928014318e-09	0.020575739265559605	0.023289153893520053
9+:het:0-100kb	0.017334866860347516	0.011527709535002942	0.003466175259004558	0.03224938720464707	0.009749280529775781
9+:het:100kb-1Mb	0.005851652987098532	0.046927565755162846	0.006368761250266744	0.18272168755531312	0.04835528683848679
9+:het:1Mb-10Mb	0.0021029279931099156	0.04330081683831395	0.0006583632924945167	0.0806596855726093	0.09713799798590571
9+:het:10Mb-40Mb	0.0003914828239197554	0.0002230709820508281	0.0006223084034867554	0.00015116784637886127	0.014770198275800794
