MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
3-4:LOH:1Mb-10Mb	0.023521170312942558	0.0024664430288953553	0.012191342054599543	8.610114282711336e-06	0.02235397992115395	0.003609601132969935	0.05037297540265854	0.11055616029538214	0.022833974103308494
3-4:LOH:10Mb-40Mb	0.0054233486518294426	0.005541850519937696	0.002151412326860296	7.294397903478967e-08	0.01800879835710129	0.0014412606573087317	0.02476636142671964	0.03759252487691242	0.007516203121384137
3-4:LOH:>40Mb	0.0005336172276787465	0.006628341177221415	4.15229559850161e-05	2.084001337010477e-07	0.005489063057705011	0.00044032792432901146	0.007286347646936946	0.015595574050606728	0.004129479068537023
5-8:LOH:0-100kb	0.0038830611938168147	0.0008646966112848987	5.881221303923212e-05	3.360401448038175e-05	0.0029343226192358428	0.0025796907408013503	0.002109411627760096	5.711888561876322e-05	0.0027826878663330047
5-8:LOH:100kb-1Mb	0.005769860558493462	0.003962090137218546	0.002492760898369113	7.328125988692592e-08	0.01631184711664332	0.003671930833280115	0.006706119409315647	0.007695953888343254	0.006155045250560107
5-8:LOH:1Mb-10Mb	0.006491214225179647	0.00988702498251051	2.2001340767019428e-08	0.0005370594835976661	0.018412767387839465	0.008262783624387903	0.00495414270291974	0.030208344998414988	0.020933614040675935
5-8:LOH:10Mb-40Mb	0.0009594962591540579	0.0031879059165621014	2.346836511435413e-07	0.0004702878513348097	0.009129976954663378	0.0003049484752191134	0.002135756250663263	0.02083041409881673	0.006697201228615271
5-8:LOH:>40Mb	0.00020169641976437448	0.00036395818536895776	0.0016657801202606848	0.001130146666119316	0.0008033699854819254	0.00017114712618280237	0.0004202015274556814	0.004139315639255585	0.0013220072563733076
9+:LOH:0-100kb	0.00023269844479514745	0.0009238879186083082	0.014676845328133794	0.0036785044869257887	0.004875707274003389	0.0018251418845605372	0.0011355161184016538	5.2701028852020217e-08	0.0024016687207457288
9+:LOH:100kb-1Mb	0.00037527654751329465	0.0009394133091518598	0.059389420407446776	1.9435896675190634e-07	0.02066241797085155	0.005398381330290327	0.01084154646527793	0.008012855099613034	0.012924085802262085
9+:LOH:1Mb-10Mb	0.0014312452844377787	0.00042218588122040047	0.006583884371732154	0.0004642438113509684	0.006403694131565701	0.011140307187676512	0.0017887136274210035	0.003800868221195142	0.005308753578762051
9+:LOH:10Mb-40Mb	2.3796727177227695e-07	9.307354997645234e-07	5.526844250880459e-07	1.170966387462613e-06	6.193497546291837e-07	6.045687548805744e-07	5.304246160164894e-07	3.7190722451896363e-07	4.5590641569503985e-07
9+:LOH:>40Mb	2.3796727177227695e-07	9.307354997645234e-07	5.526844250880459e-07	1.170966387462613e-06	6.193497546291837e-07	6.045687548805744e-07	5.304246160164894e-07	3.7190722451896363e-07	4.5590641569503985e-07
2:het:0-100kb	0.004552088158640401	0.009578873533430112	0.0001546036735410894	0.007310894043240808	0.007607218154556108	0.003495672387758866	0.06764353978517988	2.346326338908966e-07	0.0078064853527239466
2:het:100kb-1Mb	0.007647858840837216	0.01243016733108675	0.0009382986695598561	0.03662569219791749	0.0065609602521320195	0.023432291678788745	0.03237193988330432	0.010526205842867285	0.021766012608397885
2:het:1Mb-10Mb	0.006677431610993949	0.007585822341125663	0.0004116771723375479	0.16138215154409408	0.0028301446489999906	0.15608200706266417	0.00192867528057592	8.907757079798628e-05	0.044723480855218226
2:het:10Mb-40Mb	0.00039067133719925093	0.005083632018809787	2.628156396511372e-07	0.21288057252764703	0.0036371420373397714	0.16391001400779942	0.00032758935293308866	9.766948146250343e-08	0.02453015796380754
2:het:>40Mb	0.0018269977611464583	0.004203742691166041	0.00014672679951335254	0.3004809391498566	0.0029130242423193666	0.08075664335088248	0.002436457322568302	1.8397033334949243e-07	0.019389012495792456
3-4:het:0-100kb	0.014063336621218241	0.015519824044872052	0.0005450618712293931	0.002987217101934334	0.02747265074254642	0.004019247895716376	0.05814165284158662	0.0031232100479762436	0.010932820037276372
3-4:het:100kb-1Mb	0.06530695233901497	0.012091992468085663	0.04611271336209029	0.02816840697079897	0.051255346457473934	0.017338870975654574	0.07707275073044002	0.010095203448464242	0.04615029691718542
3-4:het:1Mb-10Mb	0.19876809868961573	0.11383726252242923	0.043036300690402915	0.06634879547171295	0.13212267226539554	0.03251460019382648	0.056951686749234794	0.03191755950916558	0.08155049307039007
3-4:het:10Mb-40Mb	0.03433428733029814	0.21770825068233535	0.06691230109960684	5.106900554210369e-06	0.10846706409704893	0.012267208677023973	0.047386819266030215	0.03415430850815028	0.07185882197087266
3-4:het:>40Mb	0.017759495388700273	0.1907306095585227	0.11899725840659812	0.019184734001876223	0.13050964860245584	0.0016623160275776171	0.07313923291793457	0.0042289943993091585	0.0493818256794475
5-8:het:0-100kb	0.005941421529846593	0.018876599230829925	0.015613511437152283	0.006808272943385418	0.03956154891930055	0.0023048929429592135	0.02313460219105309	0.010694557114329655	0.01590858552362632
5-8:het:100kb-1Mb	0.07262871645390988	0.04368927325723235	0.0612903295783326	0.051079363393364476	0.046331783370114864	0.009679007937666028	0.008960459058630476	0.02201743684883695	0.07497293173451908
5-8:het:1Mb-10Mb	0.168869122993201	0.03860896408929421	0.04897739998792531	0.005792605272478966	0.022965479474514723	0.030126560119124974	0.026383808425507596	0.23430898681282997	0.07034684253126215
5-8:het:10Mb-40Mb	0.013802982702376596	0.023386526798656177	0.00769902925617771	0.0008089278002492506	0.007424349035108548	0.0003831757892976384	0.01104479434449047	0.1426377584040165	0.020065321930405985
5-8:het:>40Mb	0.0006610817811719017	0.0146915051647116	0.028302485449663094	2.0710513410904242e-08	0.008074961852533988	0.00035172356353101007	0.026833445595411263	0.023041744459455914	0.006177872792764418
9+:het:0-100kb	0.018197074694632533	0.009227692526361011	0.03508207316510379	0.0035668659653736155	0.029297722820294893	0.0013778507826766883	0.014449045242597549	0.009394688885730744	0.017123033024283814
9+:het:100kb-1Mb	0.0601985870652652	0.001956059733464599	0.21934970423579217	0.004120480747391468	0.019891796173134094	0.013207272540843178	0.01153328119179358	0.04083660122139008	0.09430347301416987
9+:het:1Mb-10Mb	0.04892839773635387	0.004518299208895546	0.09421011561527848	0.0002615467903397928	0.007513060084566519	0.017379333279129126	0.007165924552377305	0.10849213309586048	0.0579926358708417
9+:het:10Mb-40Mb	0.00016292464854899435	0.0010128408350923478	0.0002795628511409021	0.0009158843458537547	0.0024804755601150674	0.00017520459624710937	0.0008627493269398912	0.017073982638628422	0.0024113416255690367
9+:het:>40Mb	1.177162461374337e-07	5.736008023227157e-07	4.052137258092614e-07	1.0133511156595887e-06	4.262558920942183e-07	5.153542244684673e-07	3.191844867700411e-07	0.0019502583058252298	0.00013049368692406914
