MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
2:het:>40Mb	0.00015890245404197146	0.0009460058582284126	0.25783189073204993	0.0010331767294265149	0.0024972399890645035	0.0484702094170288	2.304903230765376e-07
3-4:het:0-100kb	0.02487060857402639	0.010538268765789808	0.0032897485427105266	0.0015220663918621645	0.050191227980612894	0.008242167365231125	0.0034478220767357472
3-4:het:100kb-1Mb	0.026303719730349256	0.06620820173062385	0.028164031219348545	0.04537727183662355	0.06973714320920407	0.025519688006606884	0.011024890353437513
3-4:het:1Mb-10Mb	0.12745701313018798	0.166512166634202	0.06211819678544998	0.05629713277565315	0.08102691359090386	0.06206194988917559	0.029481220995076
3-4:het:10Mb-40Mb	0.1906604840606451	0.04634626378232497	0.0007956804981222376	0.0701981358230114	0.06710043259033682	0.03967721636624447	0.037782182903029024
3-4:het:>40Mb	0.18570085152983665	0.01653876261158871	0.015620744230417358	0.11510643661022187	0.0839497643990353	0.03009475919267743	0.0058345374610256325
5-8:het:0-100kb	0.02666168994503096	0.003679781162645668	0.005896288538347108	0.017236827895424228	0.02929896248768273	0.010380306242441293	0.0125773897235241
5-8:het:100kb-1Mb	0.045679819372016935	0.06592021450400352	0.04842640806920826	0.06574954961193726	0.0215477208228657	0.030466433583642358	0.022667444442631676
5-8:het:1Mb-10Mb	0.019052682638368897	0.16792841024696828	0.006419707147287212	0.055763002689927815	0.023979406173667988	0.04885009555917122	0.21624874472618102
5-8:het:10Mb-40Mb	0.014245363258005454	0.01796517830450739	0.0005248343665820699	0.008151859850432288	0.011373270977056791	0.008363531344705848	0.13426409967243672
5-8:het:>40Mb	0.011056298653391252	0.0021356895624944625	7.54676591441239e-09	0.024621075237407128	0.021027778075849143	0.004723197551841593	0.023170369400054368
9+:het:0-100kb	0.014016703268675884	0.014885981989970105	0.00417371318169657	0.033466199948452416	0.019068486742908133	0.01035159886344953	0.009973666223231703
9+:het:100kb-1Mb	0.004396778088772635	0.07879040672571591	0.005056036072975303	0.202667290661484	0.01649294042000747	0.027834155402719035	0.04111678097915956
9+:het:1Mb-10Mb	0.0018934600118882372	0.06737435039614752	0.00029680182144545595	0.08475893280417722	0.006793379595857907	0.02694423133158864	0.09764732313342392
9+:het:10Mb-40Mb	0.0013600485141039799	0.0003044590967495253	0.0009471647269374017	3.415500687042439e-05	0.0013349346528443817	0.0010044367371373397	0.01675569296134654
9+:het:>40Mb	4.2204928079936366e-07	2.125163301869293e-07	8.80054100491634e-07	3.783339900569231e-07	4.011511119017541e-07	5.607813890140534e-07	0.0018465102754140616
